City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,81.73,51,95,10.58,overcast clouds
80,Hobart,AU,-42.8794,147.3294,72.0,45,0,6.91,clear sky
81,Vilcun,CL,-38.65,-72.2333,73.4,46,0,16.11,clear sky
82,Ponta Do Sol,PT,32.6667,-17.1,59.0,74,0,1.01,clear sky
83,Busselton,AU,-33.65,115.3333,50.0,94,0,4.21,clear sky
84,Kilindoni,TZ,-7.9139,39.6668,81.7,78,37,9.08,scattered clouds
85,Upernavik,GL,72.7868,-56.1549,14.54,93,34,14.45,scattered clouds
86,Kushima,JP,31.4583,131.2333,41.0,100,20,5.75,few clouds
87,Deputatskiy,RU,69.3,139.9,-39.19,82,96,4.88,overcast clouds
88,Milkovo,RU,54.7167,158.6167,-9.67,85,96,0.98,overcast clouds
89,East London,ZA,-33.0153,27.9116,68.92,63,90,8.99,overcast clouds
90,Ambilobe,MG,-13.2,49.05,74.3,92,100,3.4,overcast clouds
91,Suntar,RU,62.1444,117.6319,-46.23,74,28,3.0,scattered clouds
92,Kapit,MY,2.0167,112.9333,74.16,95,100,0.94,overcast clouds
93,Hermanus,ZA,-34.4187,19.2345,66.0,71,27,5.99,scattered clouds
94,Iranshahr,IR,27.2025,60.6848,42.8,12,0,0.72,clear sky
95,Rawicz,PL,51.6095,16.8585,36.0,98,100,4.38,overcast clouds
96,Faya,SA,18.3851,42.4509,59.0,41,0,1.41,clear sky
97,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,6.91,light rain
98,Muisne,EC,0.6,-80.0333,84.2,79,75,5.75,moderate rain
99,Chuy,UY,-33.6971,-53.4616,77.74,71,0,10.63,clear sky
100,Alekseyevka,RU,50.6309,38.6903,32.65,94,100,15.32,overcast clouds
101,Tuatapere,NZ,-46.1333,167.6833,60.01,85,99,18.99,overcast clouds
102,Xining,CN,36.6167,101.7667,15.33,92,78,1.5,broken clouds
103,Iquitos,PE,-3.7481,-73.2472,87.8,66,75,4.61,broken clouds
104,Avera,US,33.194,-82.5271,57.2,51,90,4.61,overcast clouds
105,Hualmay,PE,-11.0964,-77.6139,76.41,65,45,8.7,scattered clouds
106,Victoria,HK,22.2855,114.1577,64.0,75,89,18.7,overcast clouds
107,Avarua,CK,-21.2078,-159.775,84.2,74,40,13.8,light rain
108,Saskylakh,RU,71.9167,114.0833,-38.47,79,1,6.73,clear sky
109,Provideniya,RU,64.3833,-173.3,5.0,72,40,6.71,scattered clouds
110,Diwek,ID,-7.579,112.2311,75.2,94,20,6.91,haze
111,Iqaluit,CA,63.7506,-68.5145,1.4,78,40,9.22,scattered clouds
112,Jasper,US,37.2001,-94.3502,46.4,93,90,8.05,fog
