City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Gondar,ET,57.24,overcast clouds,12.6,37.4667,
476,Salinas,US,53.01,overcast clouds,36.6777,-121.6555,
485,Fortuna,US,46.0,heavy intensity rain,40.5982,-124.1573,
492,Mutoko,ZW,64.45,light rain,-17.397000000000002,32.2268,
493,Gaillac,FR,46.99,light rain,43.9016,1.8969,
498,Carballo,ES,51.01,light rain,43.213,-8.691,
508,Los Lunas,US,52.0,broken clouds,34.8062,-106.7334,
513,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,
514,Lourdes,FR,46.4,overcast clouds,43.1,-0.05,
517,Jijiga,ET,60.01,scattered clouds,9.35,42.8,
520,Chaupimarca,PE,47.05,overcast clouds,-10.4333,-76.5333,
521,Umm Bab,QA,59.43,clear sky,25.2142,50.8072,
523,Ponta Delgada,PT,64.0,broken clouds,37.7333,-25.6667,
527,Peniche,PT,59.0,overcast clouds,39.3558,-9.3811,
537,Kadipur,IN,53.76,clear sky,26.1667,82.3833,
